代谢物,VIP值
3-Hydroxybutyrate,0.19119312039244307
ATP,0.392578179507612
Acetate,0.8008120171542404
Alanine,1.371648414863319
Aspartate,1.5128847635187463
Choline,0.42632750917999923
Creatine,0.31797227284457097
Creatine phosphate,1.206322127252507
Glucose,1.066933007521482
Glutamate,0.7368617120929206
Glutamine,1.6026309139078263
Glutathione,1.1127399984695223
Glycine,1.4161199442216494
Histidine,0.16627091695949642
Isoleucine,0.896239341943379
Lactate,2.6582707736663465
Leucine,1.270478792458463
Lysine,0.7348467697858134
O-Phosphocholine,0.7911859904407669
Ornithine,0.47944361846023414
Phenylalanine,0.48930012797711625
Proline,0.3842603360046208
Taurine,1.1268628131774916
Threonine,0.3152317791188743
Tyrosine,0.4237031047045149
Valine,0.842061856818261
beta-Alanine,0.4326974883574804
myo-Inositol,0.6916864286713292
sn-Glycero-3-phosphocholine,0.7406936236031226
