代谢物,VIP值
3-Hydroxybutyrate,0.16814781370828252
ATP,0.17866983937466283
Acetate,0.6249116250367871
Alanine,1.26975582399019
Aspartate,1.0210387432911474
Choline,0.5149520036824643
Creatine,0.29985861006981823
Creatine phosphate,1.0727178178745567
Glucose,1.0514024549592806
Glutamate,0.6979893909920432
Glutamine,1.52186949919255
Glutathione,0.9532433940440053
Glycine,0.8265689701671415
Histidine,0.1701648178499306
Isoleucine,0.7697923221705768
Lactate,2.5215604502303526
Leucine,1.0541724920036804
Lysine,0.5402779472456033
O-Phosphocholine,0.5725927326039232
Ornithine,0.4728601771112968
Phenylalanine,0.46410661611122556
Proline,0.27268934363803815
Taurine,1.0392915301061647
Threonine,0.1607061750735122
Tyrosine,0.4129264420900201
Valine,0.7716470771233149
beta-Alanine,0.5217531399162324
myo-Inositol,0.6568145624808911
sn-Glycero-3-phosphocholine,0.31001475008812396
