代谢物,VIP值
3-Hydroxybutyrate,0.01426111487988125
ATP,0.2507700249274696
Acetate,0.669703898393315
Alanine,1.4490943405040841
Aspartate,0.6118262576232225
Choline,0.1633862185953122
Creatine,0.3830751531755382
Creatine phosphate,1.0904144729354464
Glucose,0.69111712025737
Glutamate,1.1281257286131172
Glutamine,1.986453125840419
Glutathione,0.28418796306780064
Glycine,0.692413270539258
Histidine,0.1642765443172184
Isoleucine,0.6058040391612103
Lactate,1.8139148315572133
Leucine,0.8601467740478272
Lysine,0.6382984483421514
O-Phosphocholine,0.04540645263362199
Ornithine,0.6195910375160415
Phenylalanine,0.3790721410972947
Proline,0.2926783042218678
Taurine,3.1928800581708474
Threonine,0.09866717963688368
Tyrosine,0.346233897224441
Valine,0.5889201224371206
beta-Alanine,0.5737118606177886
myo-Inositol,1.3168181289954846
sn-Glycero-3-phosphocholine,0.4629383404990295
