代谢物,VIP值
3-Hydroxybutyrate,1.2805802078432855
Acetate,0.966032049989229
Alanine,1.0002025141230322
Allantoin,0.31695293739781977
Butyrate,0.887876462341398
Citrate,0.4757520679869174
Creatine,0.8119291466028623
Ethanol,1.3849354957539193
Formate,0.07631311930944822
Fumarate,0.10940937209859275
Glucose,1.2987847098286138
Glutamine,0.9106405934520269
Glycerol,1.0913318270420018
Glycine,0.6037505367540602
Histidine,0.2313447480569937
Isoleucine,0.7045727438292108
Lactate,4.009681728307047
Leucine,1.2672494250269084
Lysine,1.8349220163738698
Methionine,0.45788057003476146
Phenylalanine,0.3441961088110936
Pyruvate,0.4385239658191647
Succinate,0.34563761247244484
Threonine,1.29355551281023
Trimethylamine,0.26692734539596447
Tyrosine,0.4465741049548902
UDP-N-Acetylglucosamine,0.35719688400447464
Valine,1.2318444324520883
