代谢物,VIP值
3-Hydroxybutyrate,1.7683044404657402
Acetate,0.8061553300758948
Alanine,0.9176257703142753
Allantoin,0.246897855520585
Butyrate,0.582798107091532
Citrate,0.443257375403167
Creatine,0.6336602848707478
Ethanol,1.9139519863334824
Formate,0.01850599000035545
Fumarate,0.10587080574480424
Glucose,0.9676471952729534
Glutamine,0.940989550642163
Glycerol,1.633237785411037
Glycine,0.46502835145489546
Histidine,0.17859584427388583
Isoleucine,0.549361374296992
Lactate,3.1282219316099216
Leucine,1.064299522834162
Lysine,1.525415173357803
Methionine,0.2750246359462031
Phenylalanine,0.2676449447937967
Pyruvate,0.33519782733437964
Succinate,0.662559238361559
Threonine,1.7142529140433027
Trimethylamine,0.15846971048639075
Tyrosine,0.39150702330500237
UDP-N-Acetylglucosamine,0.19312098590211074
Valine,1.000014293855241
